url	first_seen	portal	title	company	status	location
https://jobs.lever.co/jobscan-2/7aa85d5f-ff61-4522-bb85-6c29a8d863ca	2026-06-07	lever-api	Senior Product Manager (Growth)	Jobscan	added	Taipei, Taiwan
https://job-boards.greenhouse.io/appier/jobs/6854145	2026-06-07	greenhouse-api	Digital Marketing (Campaign Management team)	Appier	added	Taipei, Taiwan
https://job-boards.greenhouse.io/appier/jobs/7510874	2026-06-07	greenhouse-api	Sales Development Associate (Inside Sales, TW)	Appier	added	Taipei, Taiwan
https://job-boards.greenhouse.io/appier/jobs/7824539	2026-06-07	greenhouse-api	Senior Product Manager (Ad Cloud Platform)	Appier	added	Taipei, Taiwan
https://job-boards.greenhouse.io/appier/jobs/7915849	2026-06-07	greenhouse-api	Senior Retargeting Product Manager (Taiwan)	Appier	added	Taipei, Taiwan
https://job-boards.greenhouse.io/appier/jobs/7119975	2026-06-07	greenhouse-api	Senior RTB Product Manager (Taiwan)	Appier	added	Taipei, Taiwan
https://jobs.lever.co/pinkoi/8af15639-0d12-4100-825b-443f740de2b7	2026-06-07	lever-api	(Sr.) Digital Performance Marketing Specialist / （資深）數位廣告投手	Pinkoi	added	Taipei
https://jobs.lever.co/Gogolook/97d65262-aa87-45ba-8940-6fe4920c4796	2026-06-07	lever-api	Senior Strategic Business Development Manager (Roo)	Gogolook	added	Taipei
https://www.coupang.jobs/en/jobs/?gh_jid=7946299	2026-06-07	greenhouse-api	Group Product Manager	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/?gh_jid=7916663	2026-06-07	greenhouse-api	Senior Manager, Sourcing & Product Strategy(Direct Factory)	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/?gh_jid=7942634	2026-06-07	greenhouse-api	Senior Product Manager	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/?gh_jid=7919597	2026-06-07	greenhouse-api	Senior Product Manager - Growth	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/?gh_jid=7882915	2026-06-07	greenhouse-api	Senior Product Manager II	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/?gh_jid=7870289	2026-06-07	greenhouse-api	Senior Product Manager (Retail Selection)	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/?gh_jid=7944648	2026-06-07	greenhouse-api	Senior Product Manager (SCM)	Coupang	added	Taipei, Taiwan
https://jobs.smartrecruiters.com/Canva/postings/6000000001106315	2026-06-07	smartrecruiters-api	Senior Growth Copywriter	Canva	added	Melbourne, VIC, Australia
https://job-boards.greenhouse.io/cultureamp/jobs/7923400	2026-06-08	greenhouse-api	Scaled Customer Success Manager - 12 month FTC	Culture Amp	added	Melbourne 
https://jobs.ashbyhq.com/speak/ed3db091-3a31-4cda-a34b-48fa66b0ec93	2026-06-08	websearch	Growth Marketing Manager, Lifecycle - Taiwan	Speak	added	Taipei, Taiwan
https://job-boards.greenhouse.io/privateblock/jobs/4679024008	2026-06-08	websearch	Australia GTM Strategy & Operations Lead	Block/Square	added	Melbourne/Sydney, AU
https://job-boards.greenhouse.io/zipcolimited/jobs/4623232006	2026-06-08	websearch	Senior Product Manager, Merchant Growth & Enablement	Zip Co	added	Sydney, AU
https://jobs.lever.co/upguard/772f6cb6-300b-4715-8488-c542c49ec238	2026-06-08	websearch	Senior Product Marketing Manager	UpGuard	added	Melbourne, AU (remote)
https://job-boards.greenhouse.io/go1au/jobs/4684205005	2026-06-08	websearch	Senior Product Manager - Content Intelligence, Discovery & Agentic Experiences	Go1	added	Australia (remote)
https://apply.workable.com/lyka/j/64F14E4168/	2026-06-08	websearch	Senior Product Manager (Growth)	Lyka	added	Australia
https://jobs.lever.co/aircall/6a3fe0a1-94e3-47ac-a945-b7a7183650dc	2026-06-08	websearch	Senior Product Manager - Growth for Small Businesses	Aircall	added	Sydney, AU
https://apply.workable.com/fergus/j/4043088245/	2026-06-08	websearch	Product Manager	Fergus	skipped_location	Sydney/Auckland (NZ out of target)
https://jobs.ashbyhq.com/speak/89c57d75-e8ff-4b47-8054-4a39968713f2	2026-06-08	websearch	Growth Marketing Manager - Taiwan	Speak	skipped_dup	Taipei (dup of Speak lifecycle role)
https://xrex.breezy.hr/p/a1dad6bd25dd-product-manager	2026-06-08	websearch	Product Manager	XREX	skipped_title	Taipei (crypto/blockchain company)
https://xrex.breezy.hr/p/f29832c0cc31-senior-growth-product-manager	2026-06-08	websearch	Senior Growth Product Manager	XREX	skipped_title	Taipei (crypto/blockchain company)
https://jobs.lever.co/bcg/e81b96b4-1e60-4615-ab90-0a8a3489105c	2026-06-08	websearch	Senior Growth Manager	BCG Digital Ventures	skipped_location	Sydney (confirmed live - BCG consulting, not startup)
https://openai.com/careers/gtm-readiness-lead-sydney-australia/	2026-06-08	websearch	GTM Readiness Lead	OpenAI	skipped_title	Sydney (Director-level program enablement, not growth PM)
